en	de	fr	ja	cn	ko	lineno
'Get to your pads'	'Geh auf Dein Feld'	'Allez sur votre tour'		'踩塔'	'패드 밟기'	orbonne_monastery.js line#22
'Pick up tether'	'Verbindung abnehmen'	'Prenez le lien'		'坦克接线'	'선 가져오기'	orbonne_monastery.js line#35
'Point opening at Mustadio'	'Richte Öffnung auf Mustadio'	'Orientez l\'ouverture vers le boss'		'脚下光环缺口对准boss'	'문양이 빈 쪽을 무스타디오쪽으로 향하게 하기'	orbonne_monastery.js line#83
'Searchlight on YOU'	'Suchscheinwerfer auf DIR'	'Repérage sur VOUS'		'远离人群放地雷后离开'	'탐조등 대상자'	orbonne_monastery.js line#106
'Pick up swords'	'Schwerter aufnehmen'	'Prenez les épées'		'进入附近的剑标记圈'	'검 들기'	orbonne_monastery.js line#168
'Go To Center'	'In die Mitte gehen'	'Allez au centre'		'前往中间'	'중앙으로 이동'	orbonne_monastery.js line#214
'Get Shield'	'Schild nehmen'	'Prenez un bouclier'		'进入盾标记圈'	'방패 들기'	orbonne_monastery.js line#229
'Use Shield, Face Knights'	'Schild benutzen, Ritter anschauen'	'Bouclier, face au chevaliers'		'面对剑骑使用盾牌'	'방패 사용하고, 기사 바라보기'	orbonne_monastery.js line#245
'Kill shields with sword'	'Schilde mit Schwert zerstören'	'Détruisez les boucliers avec les épées'		'用剑摧毁护盾'	'방패에 검 사용하기'	orbonne_monastery.js line#261
'Use shield, face boss'	'Schild benutzen, Boss anschauen'	'Bouclier, face au boss'		'面对boss使用盾牌'	'방패 사용하고, 보스 바라보기'	orbonne_monastery.js line#276
'Use shield if tethered'	'Schild benutzen, wenn verbunden'	'Bouclier si lié'		'被连线使用盾牌'	'선 연결되면 방패 사용하기'	orbonne_monastery.js line#291
'Feint Tank Buster'	'Tankbuster Zermürben'	'Evitez Tank Buster'		'坦克死刑'	'성천폭격타 탱버'	orbonne_monastery.js line#322
'Give Tether Away'	'Verbindung abgeben'	'Donnez le lien'		'转让连线'	'선 가져오기'	orbonne_monastery.js line#353
'Give Tether Away'	'Verbindung abgeben'	'Donnez le lien'		'获取连线受到一次伤害后转给下一个'	'장 바깥으로 빼기'	orbonne_monastery.js line#371
'Kill Icewolf Adds'	'Besiege die Eiswolf Adds'	'Tuez les Grêlons de glace'		'速度消灭冰狼'	'얼음 부수기'	orbonne_monastery.js line#386
'Heal To Full'	'Vollheilen'	'Full life'		'奶满全队'	'체력 풀피로'	orbonne_monastery.js line#405
'Stand on Pads'	'Auf Felder stellen'	'Restez sur le pad'		'踩塔'	'패드 밟기'	orbonne_monastery.js line#420
'Drop Bubble In Back'	'Blase hinten ablegen'	'Déposez bulles derrière'		'将身上圆圈放在圆型区域后方'	'징 뒤에 깔기'	orbonne_monastery.js line#433
'Bolt on YOU'	'Blitz auf DIR'	'Eclair sur VOUS'		'离开剑所指的区域'	'번개 대상자'	orbonne_monastery.js line#446
'Point Line Outside'	'Linie nach Außen'	'Ligne vers l\'extérieur'		'向外远离'	'성광폭렬파 바깥으로 빼기'	orbonne_monastery.js line#473
'Rotate right'	'Im Uhrzeigersinn ausweichen'	'Evitez les épées dans le sens anti-horaire'		'向右移动避开'	'오른쪽으로 돌기'	orbonne_monastery.js line#528
'Rotate left'	'Schwertern im Uhrzeigersinn ausweichen'	'Evitez les épées dans le sens horaire'		'向左移动避开'	'왼쪽으로 돌기'	orbonne_monastery.js line#544
'Eruption on YOU'	'Eruption auf DIR'	'Éruption sur vous'		'地火喷发'	'불기둥 대상자'	orbonne_monastery.js line#576
'Stand on Slow Clock'	'In der langsamen Uhr stehen'	'Placez-vous sur une horloge lente'		'站慢速时钟等待快速爆炸后立即离开'	'느린 시계 위로'	orbonne_monastery.js line#599
'Look for Hashmal dash'	'Nach Hashmal-Dash ausschau halten'	'Attention au dash'		'观察场地三个大十字路径并远离'	'하쉬말 돌진 확인'	orbonne_monastery.js line#614
'Heal Like Whoa'	'Heilen was das Zeug hält'	'Mass heal'		'加大治疗'	'계속 힐 돌리기'	orbonne_monastery.js line#632
'Kill Ruination!'	'Zerstörung vernichten'	'Tuez la Marque des déchus'		'速度消灭堕天之证'	'타락의 증거 죽이기'	orbonne_monastery.js line#652
'Look for Tsunami'	'Auf Krug achten'	'Attention Tsunami'		'离开水瓶口方向'	'대해일 확인'	ridorana_lighthouse.js line#38
'Look for Tsunami'	'Auf Krug achten'	'Attention Tsunami'		'离开水瓶口方向'	'대해일 확인'	ridorana_lighthouse.js line#60
'Look for Tsunami'	'Auf Krug achten'	'Attention Tsunami'		'离开水瓶口方向'	'대해일 확인'	ridorana_lighthouse.js line#82
'Stretch Tether Outside'	'Verbindung nach außen strecken'	'Lien vers l\'exterieur'		'将连线朝外远离人群'	'줄 바깥으로 늘이기'	ridorana_lighthouse.js line#158
'Stop Clocks'	'Uhrzeiger nach außen'	'Arrêtez horloge'		'定时炸弹'	'시간 폭탄'	ridorana_lighthouse.js line#173
'Move to Postive'	'Ins Positive laufen'	'Allez sur le plus'		'移动到正极'	'+전하 쪽으로'	ridorana_lighthouse.js line#460
'Move to Negative'	'Ins Negative laufen'	'Allez sur le moins'		'移动到负极'	'-전하 쪽으로'	ridorana_lighthouse.js line#478
'Kill Heart'	'Herz'	'Tuer le cœur'		'消灭boss核心'	'심핵 처리'	ridorana_lighthouse.js line#505
'Kill Aqua Spheres'	'Wasserkugeln zerstören'	'Détruire les bulles d\'eau'		'击杀水球'	'물 구체 죽이기'	royal_city_of_rabanastre.js line#20
'Move To Safe Spot'	'Zur sicheren Zone'	'Allez en zone sûre'		'去安全点'	'안전 지대로 이동'	royal_city_of_rabanastre.js line#102
'Move Away'	'Weg da'	'Eloignez-vous'		'远离大锤落点'	'피하기'	royal_city_of_rabanastre.js line#134
'Kill Golems'	'Golems töten'	'Détruisez les golems'		'击杀小怪'	'골렘 죽이기'	royal_city_of_rabanastre.js line#155
'Dragon Voice: Move In'	'Stimme Des Drachen: Rein'	'Voix Du Dragon : Packez-vous'		'靠近目标'	'뇌전 포효: 안으로'	royal_city_of_rabanastre.js line#176
'Ram Voice: Move Out'	'Stimme Des Widders: Raus'	'Voix Du Bélier : Eloignez-vous'		'远离目标'	'빙결 포효: 바깥으로'	royal_city_of_rabanastre.js line#197
'Trample'	'Zertrampeln'	'Fauchage'		'蹂躏'	'유린'	royal_city_of_rabanastre.js line#226
'Out of blue circle'	'Raus aus dem blauen Kreis'	'Hors du cercle bleu'		'离开蓝圈'		ala_mhigo.js line#59
'Protean'	'Um den Boss verteilen'	'Changement'		'和队友分散路径'		ala_mhigo.js line#83
'Face tether out'	'Verbindung nach draußen richten'	'Lien vers l\'extérieur'		'离开人群背对连线'		ala_mhigo.js line#100
'avoid eye lasers'	'Augenlaser ausweichen'	'Evitez les lasers'		'避开眼部激光'		drowned_city_of_skalla.js line#57
'swipe'	'Hieb'	'Fauche'		'去目标背后'		fractal_continuum_hard.js line#18
